iteration,curr_best,new_sol_score,curr_temp
0,0,1232774,10000.0
1,1232774,1243673,4902.631842044826
2,1243673,1246872,2928.9808244665555
3,1246872,1246872,2245.234559506819
4,1246872,1247113,1904.8272072875147
5,1247113,1247113,1698.6162779714457
6,1247113,1247113,1558.5119459497985
7,1247113,1247949,1456.0206399872861
8,1247949,1252050,1377.1105949298212
9,1252050,1259505,1314.0468278513538
10,1259505,1259505,1262.1990313208653
11,1259505,1260835,1218.615833759719
12,1260835,1260835,1181.3208674563866
13,1260835,1260835,1148.9369685991132
14,1260835,1260835,1120.4725857248293
15,1260835,1261198,1095.1939877349753
16,1261198,1261198,1072.5454596703623
17,1261198,1261198,1052.0976245106779
18,1261198,1261198,1033.51292005801
19,1261198,1261198,1016.5219048291191
20,1261198,1261198,1000.9066070959426
21,1261198,1261198,986.4885766591387
22,1261198,1261198,973.1201505296569
23,1261198,1261198,960.6779610596741
24,1261198,1261198,949.0580380903052
25,1261198,1261198,938.1720633703723
26,1261198,1261198,927.9444706991867
27,1261198,1261198,918.310175468641
28,1261198,1261198,909.2127785935825
29,1261198,1261388,900.6031321860227
30,1261388,1261388,892.4381840533985
31,1261388,1261388,884.6800392512711
32,1261388,1261388,877.2951921666291
33,1261388,1261388,870.2538937307017
34,1261388,1261388,863.5296265661525
35,1261388,1261388,857.098666991017
36,1261388,1261388,850.9397174068893
37,1261388,1261388,845.0335960972587
38,1261388,1261388,839.3629741423484
39,1261388,1261388,833.9121512271008
40,1261388,1261388,828.6668637301451
41,1261388,1261388,823.6141197444342
42,1261388,1261388,818.7420566767883
43,1261388,1261388,814.0398178649853
44,1261388,1261388,809.4974452833795
45,1261388,1261388,805.1057859161477
46,1261388,1261388,800.8564097878158
47,1261388,1261388,796.7415379741731
48,1261388,1261388,792.7539791888348
49,1261388,1264806,788.887073763907
50,1264806,1264806,785.1346440270657
51,1264806,1264806,781.4909502294763
52,1264806,1265045,777.9506513053348
53,1265045,1265045,774.5087698492121
54,1265045,1265727,771.1606607856085
55,1265727,1265727,767.9019832792587
56,1265727,1265727,764.7286754972383
57,1265727,1265814,761.6369318867963
58,1265814,1265814,758.6231826777255
59,1265814,1265814,755.6840753562817
60,1265814,1265814,752.816457890294
61,1265814,1265814,750.0173635130442
62,1265814,1270481,747.2839968974868
63,1270481,1270481,744.613721573038
64,1270481,1270481,742.0040484549914
65,1270481,1270481,739.4526253720585
66,1270481,1270481,736.9572274909103
67,1270481,1270481,734.515748548247
68,1270481,1270481,732.1261928110611
69,1270481,1270481,729.7866676946247
70,1270481,1270481,727.4953769754854
71,1270481,1270481,725.2506145435589
72,1270481,1272609,723.0507586433839
73,1272609,1272609,720.8942665598686
74,1272609,1274546,718.7796697085033
75,1274546,1274546,716.705569094115
76,1274546,1274546,714.670631105874
77,1274546,1274546,712.6735836194885
78,1274546,1276827,710.7132123803801
79,1276827,1276827,708.788357644185
80,1276827,1276827,706.8979110531917
81,1276827,1276827,705.0408127293585
82,1276827,1276827,703.2160485663574
83,1276827,1276827,701.4226477047191
84,1276827,1276827,699.6596801756067
85,1276827,1276827,697.9262547000459
86,1276827,1276827,696.2215166316189
87,1276827,1276827,694.5446460316837
88,1276827,1276827,692.8948558671295
89,1276827,1276827,691.2713903215425
90,1276827,1276827,689.6735232114287
91,1276827,1277551,688.1005564998453
92,1277551,1279042,686.5518189004283
93,1279042,1279042,685.0266645653782
94,1279042,1279042,683.5244718514905
95,1279042,1279042,682.0446421587975
96,1279042,1279042,680.586598836812
97,1279042,1280354,679.1497861537655
98,1280354,1280354,677.7336683245912
99,1280354,1280354,676.3377285937262
100,1280354,1280354,674.9614683691099
101,1280354,1285819,673.6044064040325
102,1285819,1285819,672.2660780237288
103,1285819,1285819,670.9460343938531
104,1285819,1285819,669.6438418281733
105,1285819,1285819,668.3590811330198
106,1285819,1285819,667.0913469861994
107,1285819,1285819,665.8402473482495
108,1285819,1286726,664.605402904059
109,1286726,1286726,663.3864465330134
110,1286726,1286726,662.1830228059607
111,1286726,1286726,660.9947875073999
112,1286726,1286726,659.8214071814101
113,1286726,1286726,658.6625586999357
114,1286726,1286726,657.5179288521358
115,1286726,1286726,656.3872139535894
116,1286726,1286726,655.2701194742319
117,1286726,1286787,654.1663596839672
118,1286787,1286787,653.0756573149695
119,1286787,1286787,651.9977432397509
120,1286787,1286787,650.932356164133
121,1286787,1286787,649.879242334309
122,1286787,1286787,648.8381552572375
123,1286787,1286787,647.8088554336575
124,1286787,1286787,646.7911101030508
125,1286787,1286806,645.7846929999283
126,1286806,1286806,644.7893841208461
127,1286806,1287737,643.8049695015972
128,1287737,1287737,642.8312410040567
129,1287737,1287737,641.8679961121896
130,1287737,1287737,640.9150377367561
131,1287737,1287737,639.9721740282798
132,1287737,1287737,639.0392181978694
133,1287737,1287737,638.1159883455018
134,1287737,1287737,637.2023072954058
135,1287737,1287737,636.298002438199
136,1287737,1287737,635.4029055794509
137,1287737,1287737,634.5168527943682
138,1287737,1287737,633.6396842883069
139,1287737,1287737,632.7712442628391
140,1287737,1288301,631.9113807871141
141,1288301,1288301,631.0599456742659
142,1288301,1288890,630.2167943626367
143,1288890,1288890,629.3817858015929
144,1288890,1288890,628.5547823417268
145,1288890,1288890,627.7356496292448
146,1288890,1288890,626.9242565043543
147,1288890,1288890,626.1204749034714
148,1288890,1288890,625.3241797650799
149,1288890,1288890,624.535248939081
150,1288890,1288890,623.7535630994829
151,1288890,1290730,622.9790056602831
152,1290730,1290730,622.2114626944069
153,1290730,1290730,621.450822855573
154,1290730,1290730,620.6969773029591
155,1290730,1290730,619.9498196285505
156,1290730,1290730,619.2092457870596
157,1290730,1290730,618.4751540283092
158,1290730,1290730,617.7474448319771
159,1290730,1290730,617.0260208446032
160,1290730,1290730,616.3107868187714
161,1290730,1290978,615.601649554373
162,1290978,1290978,614.8985178418702
163,1290978,1290978,614.2013024074784
164,1290978,1290978,613.5099158601923
165,1290978,1290978,612.824272640581
166,1290978,1290978,612.1442889712836
167,1290978,1290978,611.4698828091385
168,1290978,1291065,610.8009737988829
169,1291065,1291065,610.1374832283609
170,1291065,1294289,609.4793339851846
171,1294289,1294289,608.8264505147896
172,1294289,1294420,608.1787587798352
173,1294420,1294420,607.5361862208957
174,1294420,1294420,606.8986617183954
175,1294420,1294420,606.2661155557424
176,1294420,1294420,605.6384793836147
177,1294420,1294420,605.015686185356
178,1294420,1294420,604.3976702434434
179,1294420,1294420,603.7843671069836
180,1294420,1294420,603.1757135602048
181,1294420,1294420,602.5716475919047
182,1294420,1294420,601.9721083658224
183,1294420,1294420,601.3770361919007
184,1294420,1294557,600.7863724984081
185,1294557,1294557,600.2000598048884
186,1294557,1294557,599.6180416959091
187,1294557,1294557,599.0402627955849
188,1294557,1294557,598.4666687428418
189,1294557,1294557,597.8972061674041
190,1294557,1294557,597.3318226664736
191,1294557,1294557,596.7704667820811
192,1294557,1294557,596.2130879790852
193,1294557,1294557,595.6596366237984
194,1294557,1294557,595.1100639632169
195,1294557,1294557,594.5643221048368
196,1294557,1294557,594.0223639970352
197,1294557,1294599,593.4841434099991
198,1294599,1294599,592.9496149171805
199,1294599,1294599,592.4187338772675
200,1294599,1294599,591.8914564166463
201,1294599,1294599,591.3677394123439
202,1294599,1294599,590.8475404754345
203,1294599,1297943,590.3308179348938
204,1297943,1297943,589.8175308218881
205,1297943,1297943,589.3076388544836
206,1297943,1297943,588.8011024227628
207,1297943,1297964,588.2978825743362
208,1297964,1297981,587.797941000235
209,1297981,1297981,587.3012400211744
210,1297981,1297981,586.8077425741766
211,1297981,1297981,586.3174121995394
212,1297981,1297981,585.8302130281442
213,1297981,1298005,585.3461097690888
