iteration,curr_best,new_sol_score,curr_temp
0,0,1250146,10000.0
1,1250146,1262454,4902.631842044826
2,1262454,1263318,2928.9808244665555
3,1263318,1263318,2245.234559506819
4,1263318,1263318,1904.8272072875147
5,1263318,1265941,1698.6162779714457
6,1265941,1265941,1558.5119459497985
7,1265941,1265941,1456.0206399872861
8,1265941,1265941,1377.1105949298212
9,1265941,1265941,1314.0468278513538
10,1265941,1265941,1262.1990313208653
11,1265941,1265941,1218.615833759719
12,1265941,1265941,1181.3208674563866
13,1265941,1266035,1148.9369685991132
14,1266035,1266035,1120.4725857248293
15,1266035,1269320,1095.1939877349753
16,1269320,1271982,1072.5454596703623
17,1271982,1271982,1052.0976245106779
18,1271982,1271982,1033.51292005801
19,1271982,1271982,1016.5219048291191
20,1271982,1271982,1000.9066070959426
21,1271982,1272200,986.4885766591387
22,1272200,1272200,973.1201505296569
23,1272200,1272200,960.6779610596741
24,1272200,1272200,949.0580380903052
25,1272200,1284461,938.1720633703723
26,1284461,1284560,927.9444706991867
27,1284560,1285753,918.310175468641
28,1285753,1285753,909.2127785935825
29,1285753,1285753,900.6031321860227
30,1285753,1285753,892.4381840533985
31,1285753,1285753,884.6800392512711
32,1285753,1285753,877.2951921666291
33,1285753,1285753,870.2538937307017
34,1285753,1285753,863.5296265661525
35,1285753,1285753,857.098666991017
36,1285753,1286856,850.9397174068893
37,1286856,1286856,845.0335960972587
38,1286856,1286856,839.3629741423484
39,1286856,1286856,833.9121512271008
40,1286856,1286856,828.6668637301451
41,1286856,1286856,823.6141197444342
42,1286856,1286856,818.7420566767883
43,1286856,1286856,814.0398178649853
44,1286856,1291028,809.4974452833795
45,1291028,1291028,805.1057859161477
46,1291028,1291028,800.8564097878158
47,1291028,1291028,796.7415379741731
48,1291028,1291028,792.7539791888348
49,1291028,1291028,788.887073763907
50,1291028,1291028,785.1346440270657
51,1291028,1291028,781.4909502294763
52,1291028,1291028,777.9506513053348
53,1291028,1291061,774.5087698492121
54,1291061,1291061,771.1606607856085
55,1291061,1291061,767.9019832792587
56,1291061,1292514,764.7286754972383
57,1292514,1292514,761.6369318867963
58,1292514,1292514,758.6231826777255
59,1292514,1292514,755.6840753562817
60,1292514,1292514,752.816457890294
61,1292514,1292514,750.0173635130442
62,1292514,1292514,747.2839968974868
63,1292514,1292514,744.613721573038
64,1292514,1292514,742.0040484549914
65,1292514,1292514,739.4526253720585
66,1292514,1292514,736.9572274909103
67,1292514,1292514,734.515748548247
68,1292514,1292514,732.1261928110611
